"Area","Feature","AlloFlowImplementation","Source","Evidence","MagicSchool","Brisk","Diffit","Curipod","Eduaide","SchoolAI","Khanmigo","ComparableCompetitors","StackUp","Notes"
"3.5 Visual & Organizational Scaffolds","Outline / Graphic Organizer","Hierarchical outline OR visual organizer (concept map, fishbone, T-chart, Venn)","FEATURE_INVENTORY.md","Sidebar â†’ Outline â†’ choose type â†’ Generate","Full/dedicated comparable","Partial/full comparable","Full/dedicated comparable","Partial comparable","Strong comparable","Generic/Space-based comparable","Generic assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Partial/full comparable); Diffit (Full/dedicated comparable); Curipod (Partial comparable); Eduaide (Strong comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Generic assistant comparable)","Comparable; AlloFlow advantage is interactive/export-side integration","Eduaide and Diffit are strong here; AlloFlow adds interactive organizers and export/runtime accessibility context."
"3.5 Visual & Organizational Scaffolds","Image Generation","Gemini Imagen-generated illustrations / diagrams / photos mapped to lesson sections","FEATURE_INVENTORY.md","Sidebar â†’ Image â†’ set count + style â†’ Generate","Partial/full comparable for presentations/images","Partial comparable for presentations","Partial export comparable","Strong comparable for interactive lessons/slides","Partial comparable for AI images/resources","Partial via PowerUps/Spaces","No public dedicated comparable found","MagicSchool (Partial/full comparable for presentations/images); Brisk (Partial comparable for presentations); Diffit (Partial export comparable); Curipod (Strong comparable for interactive lessons/slides); Eduaide (Partial comparable for AI images/resources); SchoolAI (Partial via PowerUps/Spaces)","AlloFlow ahead on born-accessible creative studio breadth; Curipod stronger for polished live slide lessons","Competitors make slides/resources; AlloFlow adds accessible visual-doc, video, story, poetry, and music studios in one product family."
"3.5 Visual & Organizational Scaffolds","Sentence Frames","Sentence starters / paragraph frames at specified Bloom's level","FEATURE_INVENTORY.md","Sidebar â†’ Sentence Frames (ðŸ’¬) â†’ Generate","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.6 Narrative & Role-Play","Adventure Mode","AI-generated branching narrative, NPC dialogue, inventory system (Adventure Shop), XP/levels, multi-turn state","FEATURE_INVENTORY.md","Sidebar â†’ Adventure (ðŸ—ºï¸) â†’ set premise â†’ Generate â†’ Play Adventure","Partial/full comparable via custom chatbots/student tools","No public dedicated comparable found","No public dedicated comparable found","Partial classroom interaction comparable","Generic assistant comparable","Strong comparable via Spaces","Strong comparable as AI tutor","MagicSchool (Partial/full comparable via custom chatbots/student tools); Curipod (Partial classroom interaction comparable); Eduaide (Generic assistant comparable); SchoolAI (Strong comparable via Spaces); Khanmigo (Strong comparable as AI tutor)","Mixed; AlloFlow more gameful and cross-tool, SchoolAI/Khanmigo stronger as polished tutor/chat products","AlloFlow adds quest/rapport/game mechanics and curriculum ties; SchoolAI/Khanmigo have clearer public positioning and scale for AI conversation."
"3.6 Narrative & Role-Play","Persona Chat","Student converses with AI-powered historical figure / literary character / domain expert / Socratic guide. Includes 16-handler system (personas_module.js): persona generation, single + panel chat, AI-generated portraits, retries, reflection prompts, rapport / XP tracking (relationship deepens with engagement), quest completion (specific learning objectives per persona), harmony scoring (live engagement quality meter)","FEATURE_INVENTORY.md","Sidebar â†’ Persona (ðŸ‘¤) â†’ select/generate persona â†’ Start Chat","Partial/full comparable via custom chatbots/student tools","No public dedicated comparable found","No public dedicated comparable found","Partial classroom interaction comparable","Generic assistant comparable","Strong comparable via Spaces","Strong comparable as AI tutor","MagicSchool (Partial/full comparable via custom chatbots/student tools); Curipod (Partial classroom interaction comparable); Eduaide (Generic assistant comparable); SchoolAI (Strong comparable via Spaces); Khanmigo (Strong comparable as AI tutor)","Mixed; AlloFlow more gameful and cross-tool, SchoolAI/Khanmigo stronger as polished tutor/chat products","AlloFlow adds quest/rapport/game mechanics and curriculum ties; SchoolAI/Khanmigo have clearer public positioning and scale for AI conversation."
"3.7 Assessment & Feedback","Quiz / Exit Ticket","MCQ + short-answer + matching at configurable difficulty/Bloom's level; modes: Exit Ticket, Pre-Check, Formative, Spaced Review","FEATURE_INVENTORY.md","Sidebar â†’ Quiz â†’ choose mode â†’ Generate","Full/dedicated comparable","Full/dedicated comparable","Full/dedicated comparable","Full/dedicated comparable","Strong comparable","Partial via Spaces/Mission Control","Partial/full teacher assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Full/dedicated comparable); Diffit (Full/dedicated comparable); Curipod (Full/dedicated comparable); Eduaide (Strong comparable); SchoolAI (Partial via Spaces/Mission Control); Khanmigo (Partial/full teacher assistant comparable)","Crowded category; AlloFlow ahead only when live aggregation, UDL, and remediation are counted","Assessment generation is common; AlloFlow stacks more modes plus AI grading/live aggregation but competitors can be slicker in narrow workflows."
"3.7 Assessment & Feedback","Math Fluency Probe","Timed arithmetic drills with WCPM-analog metrics, error pattern flagging, history graphs","FEATURE_INVENTORY.md","Sidebar â†’ Math â†’ Fluency Probe tab â†’ set parameters â†’ Start","Generic assessment comparable","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","Generic assessment comparable","Partial progress-monitoring comparable","Partial math tutoring comparable","MagicSchool (Generic assessment comparable); Eduaide (Generic assessment comparable); SchoolAI (Partial progress-monitoring comparable); Khanmigo (Partial math tutoring comparable)","AlloFlow ahead on CBM-style math fluency/progress-monitoring depth","Khanmigo is stronger as a general math tutor, but the reviewed competitors do not publicly show a dedicated timed fluency/probe workflow like AlloFlow."
"3.7 Assessment & Feedback","Running Record / Fluency Assessment","Live oral reading capture with sub/omit/insert/SC marking, accuracy %, RTI documentation","FEATURE_INVENTORY.md","Header â†’ Teacher Tools â†’ Fluency Assessment OR sidebar during lesson","Partial comparable for IEP/accommodation drafting","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","Generic/partial comparable","Partial via student supports/safety","Partial tutoring/progress comparable","MagicSchool (Partial comparable for IEP/accommodation drafting); Eduaide (Generic/partial comparable); SchoolAI (Partial via student supports/safety); Khanmigo (Partial tutoring/progress comparable)","AlloFlow ahead on special-education and school-psych depth","MagicSchool has public IEP-related tooling, but AlloFlow goes much deeper into behavior, AAC, clinical report, fluency, and direct student supports."
"3.8 Higher-Order Thinking & Analysis","Timeline / Sequencing","Interactive timeline (linear, parallel, cyclical, nested) with cause-effect linking","FEATURE_INVENTORY.md","Sidebar â†’ Timeline â†’ set mode â†’ Generate","Full/dedicated comparable","Partial/full comparable","Full/dedicated comparable","Partial comparable","Strong comparable","Generic/Space-based comparable","Generic assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Partial/full comparable); Diffit (Full/dedicated comparable); Curipod (Partial comparable); Eduaide (Strong comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Generic assistant comparable)","Comparable; AlloFlow advantage is interactive/export-side integration","Eduaide and Diffit are strong here; AlloFlow adds interactive organizers and export/runtime accessibility context."
"3.8 Higher-Order Thinking & Analysis","Concept Sort","Draggable concept cards into categories with AI feedback","FEATURE_INVENTORY.md","Sidebar â†’ Concept Sort â†’ define categories â†’ student sorts â†’ AI scores","Full/dedicated comparable","Partial/full comparable","Full/dedicated comparable","Partial comparable","Strong comparable","Generic/Space-based comparable","Generic assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Partial/full comparable); Diffit (Full/dedicated comparable); Curipod (Partial comparable); Eduaide (Strong comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Generic assistant comparable)","Comparable; AlloFlow advantage is interactive/export-side integration","Eduaide and Diffit are strong on organizers/resources; AlloFlow adds direct interactive sorting, AI feedback, and UDL/export context."
"3.8 Higher-Order Thinking & Analysis","DBQ (Document-Based Questions)","Primary-source documents + scaffolded analysis questions (attribution, bias, audience, purpose) + evidence-building","FEATURE_INVENTORY.md","Sidebar â†’ DBQ (ðŸ“œ) â†’ set count + source type â†’ Generate","Full/dedicated comparable","Partial/full comparable","Full/dedicated comparable","Partial comparable","Strong comparable","Generic/Space-based comparable","Generic assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Partial/full comparable); Diffit (Full/dedicated comparable); Curipod (Partial comparable); Eduaide (Strong comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Generic assistant comparable)","Comparable; AlloFlow advantage is interactive/export-side integration","Eduaide and Diffit are strong here; AlloFlow adds interactive organizers and export/runtime accessibility context."
"3.8 Higher-Order Thinking & Analysis","Math Problem Solver","AI step-by-step solver with error pattern recognition + graphing","FEATURE_INVENTORY.md","Sidebar â†’ Math â†’ Problem Solver tab â†’ upload/type â†’ Solve","Partial comparable","Partial comparable","Partial comparable","Partial curriculum-alignment comparable","Strong comparable","Partial comparable","Partial comparable","MagicSchool (Partial comparable); Brisk (Partial comparable); Diffit (Partial comparable); Curipod (Partial curriculum-alignment comparable); Eduaide (Strong comparable); SchoolAI (Partial comparable); Khanmigo (Partial comparable)","Comparable; Eduaide and teacher-assistant tools are strong, AlloFlow wins when tied to remediation and UDL","Analysis/alignment exists in several products; AlloFlow advantage is the connection to downstream accessible resources and audits."
"3.9 Lesson Synthesis","Lesson Plan / Full-Pack Export","Assemble all generated outputs into printable PDF/DOCX/HTML with pacing, standards, teacher notes, answer keys, family-guide variant","FEATURE_INVENTORY.md","Sidebar â†’ Lesson Plan â†’ choose components + format + audience â†’ Generate","Full/dedicated comparable","Full/dedicated comparable","Partial/narrower comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via Spaces/assistant","Full/dedicated teacher assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Full/dedicated comparable); Diffit (Partial/narrower comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via Spaces/assistant); Khanmigo (Full/dedicated teacher assistant comparable)","Crowded category; AlloFlow wins on bundled UDL/accessibility breadth","Competitors are strong at fast teacher-material generation; AlloFlow differentiates by connecting generation to accessibility, live tools, STEM/SEL, and export remediation."
"3.9 Lesson Synthesis","Alignment Report","Auto-map content to selected standards; flag gaps and redundancy","FEATURE_INVENTORY.md","Sidebar â†’ Alignment Report (âœ“) â†’ auto-audit","Full/dedicated comparable","Full/dedicated comparable","Partial/narrower comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via Spaces/assistant","Full/dedicated teacher assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Full/dedicated comparable); Diffit (Partial/narrower comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via Spaces/assistant); Khanmigo (Full/dedicated teacher assistant comparable)","Crowded category; AlloFlow wins on bundled UDL/accessibility breadth","Competitors are strong at fast teacher-material generation; AlloFlow differentiates by connecting generation to accessibility, live tools, STEM/SEL, and export remediation."
"3.10 Live Collaborative Learning","Live Session","Teacher launches session with code; students join with code+nickname; teacher controls pacing, sees live aggregated responses, can broadcast individual answers","FEATURE_INVENTORY.md","Header â†’ Live Session â†’ Start (teacher); Join Session screen â†’ enter code (student)","Partial comparable","Partial class-insight/feedback comparable","No public dedicated comparable found","Strong comparable","No public dedicated comparable found","Strong comparable","Partial district/classroom comparable","MagicSchool (Partial comparable); Brisk (Partial class-insight/feedback comparable); Curipod (Strong comparable); SchoolAI (Strong comparable); Khanmigo (Partial district/classroom comparable)","Competitors stronger on focused live-class polish and adoption proof","Curipod and SchoolAI are likely stronger in their live-class lanes; AlloFlow wins when live sessions connect to the larger UDL/STEM/SEL suite."
"3.10 Live Collaborative Learning","Group Session Modal","Teacher manages student groups within a live session: drag-drop resources between groups, create/delete groups, per-group profile (language, ttsSpeed, etc.)","FEATURE_INVENTORY.md","Live session â†’ Group Manager button","Partial comparable","Partial class-insight/feedback comparable","No public dedicated comparable found","Strong comparable","No public dedicated comparable found","Strong comparable","Partial district/classroom comparable","MagicSchool (Partial comparable); Brisk (Partial class-insight/feedback comparable); Curipod (Strong comparable); SchoolAI (Strong comparable); Khanmigo (Partial district/classroom comparable)","Competitors stronger on focused live-class polish and adoption proof","Curipod and SchoolAI are likely stronger in their live-class lanes; AlloFlow wins when live sessions connect to the larger UDL/STEM/SEL suite."
"3.10 Live Collaborative Learning","Student Dashboard","Personal progress: quiz history, fluency trend, adventure progress, word-sounds streak, concept mastery","FEATURE_INVENTORY.md","Student Mode â†’ Dashboard (or default landing)","Partial comparable","Partial class-insight/feedback comparable","No public dedicated comparable found","Strong comparable","No public dedicated comparable found","Strong comparable","Partial district/classroom comparable","MagicSchool (Partial comparable); Brisk (Partial class-insight/feedback comparable); Curipod (Strong comparable); SchoolAI (Strong comparable); Khanmigo (Partial district/classroom comparable)","Competitors stronger on focused live-class polish and adoption proof","Curipod and SchoolAI are likely stronger in their live-class lanes; AlloFlow wins when live sessions connect to the larger UDL/STEM/SEL suite."
"3.10 Live Collaborative Learning","Teacher Dashboard / Educator Hub","Class cohort analytics: per-student trends, concept-accuracy heatmap, recommended reteach topics, misconception clusters","FEATURE_INVENTORY.md","Header â†’ Dashboard / Educator Hub","Partial comparable","Partial class-insight/feedback comparable","No public dedicated comparable found","Strong comparable","No public dedicated comparable found","Strong comparable","Partial district/classroom comparable","MagicSchool (Partial comparable); Brisk (Partial class-insight/feedback comparable); Curipod (Strong comparable); SchoolAI (Strong comparable); Khanmigo (Partial district/classroom comparable)","Competitors stronger on focused live-class polish and adoption proof","Curipod and SchoolAI are likely stronger in their live-class lanes; AlloFlow wins when live sessions connect to the larger UDL/STEM/SEL suite."
"3.11 Header & Navigation Controls","Quick-Start Wizard","Guided first-time setup: topic â†’ grade/standards â†’ UDL prefs â†’ pacing","FEATURE_INVENTORY.md","First launch (auto) OR Header â†’ ? â†’ Restart Tour","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","None public among reviewed competitors","AlloFlow materially ahead or unique","This is part of AlloFlow-specific onboarding, role, or access-personalization infrastructure rather than a publicly advertised competitor lane."
"3.11 Header & Navigation Controls","Role Selection","Pick Teacher / Student / Parent / Independent / Educator Hub mode","FEATURE_INVENTORY.md","App launch â†’ Role Selection dialog","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","None public among reviewed competitors","AlloFlow materially ahead or unique","This is part of AlloFlow-specific onboarding, role, or access-personalization infrastructure rather than a publicly advertised competitor lane."
"3.11 Header & Navigation Controls","Language Picker","UI language switcher; downstream Gemini outputs adapt","FEATURE_INVENTORY.md","Header â†’ globe icon â†’ 40+ languages","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.11 Header & Navigation Controls","Theme & Display Settings","Dark/light, font size, font family (incl. dyslexia-friendly), color overlays, reduced motion","FEATURE_INVENTORY.md","Header â†’ Settings â†’ Display tab","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","None public among reviewed competitors","AlloFlow materially ahead or unique","This is part of AlloFlow-specific onboarding, role, or access-personalization infrastructure rather than a publicly advertised competitor lane."
"3.11 Header & Navigation Controls","Audio Bank / Voice Config","Upload pronunciation files; configure TTS voice (pitch/speed)","FEATURE_INVENTORY.md","Header â†’ Settings â†’ Audio tab","Partial SaaS comparable","Partial SaaS/browser comparable","Partial SaaS/export comparable","Partial SaaS comparable","Partial SaaS comparable","Strong trust/safety comparable","Strong ecosystem comparable","MagicSchool (Partial SaaS comparable); Brisk (Partial SaaS/browser comparable); Diffit (Partial SaaS/export comparable); Curipod (Partial SaaS comparable); Eduaide (Partial SaaS comparable); SchoolAI (Strong trust/safety comparable); Khanmigo (Strong ecosystem comparable)","AlloFlow ahead on local-first/provider flexibility; competitors ahead on managed SaaS operations","AlloFlow exposes unusual local/offline/provider controls; paid SaaS competitors are stronger in managed reliability and procurement trust."
"3.11 Header & Navigation Controls","Font Picker / Typography","Sans-serif / serif / OpenDyslexic / Atkinson Hyperlegible + spacing/height sliders","FEATURE_INVENTORY.md","Header â†’ Settings â†’ Typography tab","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","None public among reviewed competitors","AlloFlow materially ahead or unique","This is part of AlloFlow-specific onboarding, role, or access-personalization infrastructure rather than a publicly advertised competitor lane."
"3.11 Header & Navigation Controls","AI Backend Modal","Switch AI provider (Gemini / OpenAI / Ollama / LocalAI / Anthropic)","FEATURE_INVENTORY.md","Header (teacher mode) â†’ AI Backend gear icon","Partial SaaS comparable","Partial SaaS/browser comparable","Partial SaaS/export comparable","Partial SaaS comparable","Partial SaaS comparable","Strong trust/safety comparable","Strong ecosystem comparable","MagicSchool (Partial SaaS comparable); Brisk (Partial SaaS/browser comparable); Diffit (Partial SaaS/export comparable); Curipod (Partial SaaS comparable); Eduaide (Partial SaaS comparable); SchoolAI (Strong trust/safety comparable); Khanmigo (Strong ecosystem comparable)","AlloFlow ahead on local-first/provider flexibility; competitors ahead on managed SaaS operations","AlloFlow exposes unusual local/offline/provider controls; paid SaaS competitors are stronger in managed reliability and procurement trust."
"3.11 Header & Navigation Controls","UI Language Selector (header)","Same as Language Picker but always-visible widget in header","FEATURE_INVENTORY.md","Header right side","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.12 Help, Guidance & Onboarding","Spotlight Tour","24-step interactive walkthrough of all tools with spotlight overlay + ""Try It"" prompts","FEATURE_INVENTORY.md","Auto on first login OR Header â†’ ? â†’ Start Tour","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","None public among reviewed competitors","AlloFlow materially ahead or unique","This is part of AlloFlow-specific onboarding, role, or access-personalization infrastructure rather than a publicly advertised competitor lane."
"3.12 Help, Guidance & Onboarding","Help Mode","Toggle-able mode where every button shows hover tooltip with purpose + keyboard shortcut","FEATURE_INVENTORY.md","Header â†’ Help Mode button OR ? key","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","None public among reviewed competitors","AlloFlow materially ahead or unique","This is part of AlloFlow-specific onboarding, role, or access-personalization infrastructure rather than a publicly advertised competitor lane."
